=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:26:02 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:62056, ID:1, X:214, Y:109, W:83, H:83
Time:62110, ID:1, X:214, Y:109, W:83, H:83
Time:62164, ID:1, X:212, Y:111, W:83, H:83
Time:62218, ID:1, X:212, Y:111, W:83, H:83
Time:62272, ID:1, X:208, Y:113, W:84, H:84
Time:62326, ID:1, X:208, Y:113, W:84, H:84
Time:62380, ID:1, X:202, Y:115, W:84, H:84
Time:62434, ID:1, X:202, Y:115, W:84, H:84
Time:62488, ID:1, X:195, Y:117, W:84, H:84
Time:62542, ID:1, X:195, Y:117, W:84, H:84
Time:62596, ID:1, X:184, Y:118, W:85, H:85
Time:62650, ID:1, X:184, Y:118, W:85, H:85
Time:62704, ID:1, X:176, Y:118, W:85, H:85
Time:62758, ID:1, X:176, Y:118, W:85, H:85
Time:62812, ID:1, X:168, Y:120, W:86, H:86
Time:62866, ID:1, X:168, Y:120, W:86, H:86
Time:62920, ID:1, X:161, Y:120, W:86, H:86
Time:62974, ID:1, X:161, Y:120, W:86, H:86
Time:63028, ID:1, X:149, Y:120, W:86, H:86
Time:63082, ID:1, X:149, Y:120, W:86, H:86
Time:63136, ID:1, X:137, Y:120, W:86, H:86
Time:63190, ID:1, X:137, Y:120, W:86, H:86
